passenger_id,Ticket,Fare,Cabin
1215,A/546983,11.72,
1360,27326,$12.63,
1275,20390,$36.26,
1117,STON67703,8.98,
1207,18582,$14.21,
1186,A/547903,77.95,
1394,CA55380,,
1348,CA39076,8.49,
1311,CA72951,21.05,
1261,A/577713,128.66,
1189,73744,$11.06,D72
1220,STON4469,11.35,E32
1136,73256,2.86,
1243,PC42912,10.29,
1181,CA81473,10.9,
1271,CA18800,23.92,
1338,A/543200,,
1328,STON69425,8.71,D107
1023,78130,,
1290,A/586605,20.88 ,D57
1121,A/593304,71.24,
1052,A/532365,19.44,
1233,PC43735,11.63,
1379,34658,17.89,
1402,6319,15.52,
1151,A/553372,,
1069,39015,6.17,
1214,PC70271,$12.53,
1418,PC43007,$6.45,
1329,63471,142.71,
1120,CA44834,$7.27,B68
1354,PC49093,10.19,
1251,STON90804,19.71 ,
1415,CA77538,14.8,
1408,A/514330,5.83,
1365,36991,19.81,E109
1012,99283,$18.86,
1272,57161,54.36,E108
1115,A/540845,130.22,
1399,A/588868,17.47,
1274,PC90835,7.79,
1041,28935,,
1114,PC90303,14.93,
1122,STON89048,9.07,
1401,PC53648,25.44,
1237,21542,10.72,
1309,A/554191,$47.3,
1027,PC66946,10.64,
1281,A/536779,,
1410,PC74978,15.7,E11
1094,STON1784,21.97,
1080,52454,61.74,C108
1112,A/548567,15.53,
1032,CA72342,,
1266,57426,$81.08,
1166,PC43145,24.66,
1039,STON6470,9.56,D85
1378,CA85959,5.05,
1381,CA76851,45.4,
1294,CA98683,15.56,
1182,STON21536,11.58,
1085,STON44158,17.2,
1061,PC34371,19.47,E20
1356,PC82624,37.64,
1125,PC31777,18.98,
1030,14381,4.0,
1246,7832,20.47,
1293,STON91477,10.83,D66
1008,58850,$1.81,
1081,CA21746,113.28,
1383,PC94309,14.82,
1139,A/577667,11.41,
1222,A/59577,90.95,
1316,STON78633,$10.41,
1159,A/510626,59.07,
1253,PC2235,95.47,
1367,PC35787,22.98,C96
1231,CA32697,12.42,
1299,CA51517,13.52,
1006,CA48186,,
1040,A/593003,70.13,
1033,PC26119,73.07,
1009,CA35220,17.58,
1036,STON82105,12.26,
1119,94806,$22.18,E114
1160,45716,121.7,
1308,5410,31.24,
1407,A/575845,11.67,
1370,CA12643,116.82,
1380,STON32277,19.88,
1078,A/510778,0.63,
1263,A/55964,,
1147,4024,44.28,
1045,A/582418,16.07,
1014,STON86154,24.42,E89
1183,A/53438,,
1011,PC27584,17.32,
1212,48921,20.11,
1152,CA27259,22.59 ,E56
1411,CA8209,20.55,A93
1295,STON53334,,
1327,CA95576,85.48,B77
1392,74857,13.53,
1396,A/558650,65.38,
1101,PC36738,8.49,
1219,CA28799,60.01,
1405,CA16482,146.35,
1083,PC81064,16.6,
1234,CA85241,$0.91,C25
1385,A/588241,1.09,
1123,STON64106,14.54,
1403,STON73594,,
1145,STON23968,1.7,
1019,61051,11.04,
1131,40637,18.36,C91
1090,PC48315,15.07,
1175,CA79360,89.93,
1031,CA90910,,B42
1277,A/570459,82.04,A107
1238,CA36032,$39.02,
1240,STON12591,14.38,
1154,85946,,
1357,STON69601,$8.91,
1071,33802,14.81,
1228,PC5024,9.38,
1416,PC54339,6.82,D85
1044,PC56833,12.94,
1343,A/548811,13.51,
1264,PC67162,157.61,
1135,STON34045,7.46,E2
1372,CA39070,93.97,
1369,84380,7.56,
1200,STON18283,18.84,
1057,A/547627,14.78,A53
1129,CA54081,114.14,A89
1013,A/530000,,
1082,CA52565,,
1300,CA19750,19.64,
1035,A/518930,,C8
1349,CA92097,17.93,
1079,PC82319,16.49,
1345,69334,61.42,
1162,PC36472,11.12,E9
1058,43908,,
1254,PC40676,13.48,
1332,48722,21.03,
1169,CA54125,27.17,
1268,A/57333,23.57,
1055,CA6702,23.85,
1111,84181,22.37 ,
1063,CA3789,20.48,E78
1296,CA42715,12.24,
1339,CA48416,,
1089,A/528706,14.03,
1382,PC82075,,E75
1185,PC70400,16.06,A23
1203,A/586899,$17.4,
1241,STON1515,29.54,
1235,STON40119,104.12,
1202,63359,19.22 ,B91
1398,PC68081,140.08,A57
1283,STON36258,88.61,B100
1335,STON32279,,
1366,STON34504,18.73,B14
1194,CA5146,18.37,D106
1026,A/558609,17.39,
1226,CA54730,106.56 ,
1118,PC46931,$118.15,
1155,A/526783,,
1180,STON8342,69.46,
1191,76362,51.61,
1077,CA5147,13.47,
1221,A/587511,24.21,
1244,79327,,
1149,STON32051,16.52,
1054,47787,14.42,
1259,CA45504,,
1099,6948,111.61 ,
1102,CA36826,12.12,B113
1211,PC34962,35.58,
1375,CA50247,19.41,
1374,A/595031,9.84 ,C31
1007,32488,75.84,
1406,A/529928,8.05,
1292,STON72933,80.1,
1165,STON4614,13.57,
1247,PC97404,81.12 ,
1172,A/555299,19.27,B41
1347,A/537046,,
1326,STON35377,72.68,
1053,STON68263,67.71,
1140,PC40876,5.73,
1034,63273,66.69,
1377,STON54467,98.22,D116
9004,PC87956,$19.71,B46
1198,STON48363,29.57,
1060,A/589502,19.39,
1205,PC53539,,
1153,38045,$8.52,A84
1025,CA90062,135.18,
1187,STON56473,62.15,
1004,49760,$8.87,
1391,A/515130,,
1056,47326,118.7,B53
1130,CA52914,,
1298,CA20822,16.62,B63
1048,STON23020,8.88,
1168,A/586056,8.76,D7
9001,4024,44.28,
1317,50793,4.76,
1315,CA67863,15.64,
1098,PC61215,30.31,
1113,STON32200,43.1,
1363,24387,$23.01,
1256,STON13785,,
1062,STON26316,12.48,
1397,CA65391,10.65,
1310,43516,8.94,
1091,CA44433,74.71,D50
1364,STON95133,7.19,
1389,CA69919,23.99,D62
1201,STON2184,$13.06,
1178,A/542535,15.95,
1126,STON20766,$26.96,
